extension,size_kb,has_password,has_bank,has_email,has_phone,has_nic,has_card,has_secret,has_confidential,has_api_key,has_token,has_passport,has_internal,has_project,has_student,has_report,has_invoice,has_salary,has_medical,risk
png,1728,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Low
png,1507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
txt,808,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Medium
txt,8205,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,High
txt,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
xlsx,3579,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,High
png,10585,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,High
png,1567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
txt,3709,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,High
xlsx,1690,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,Medium
png,1987,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,High
png,378,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low
docx,1703,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
other,6654,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,Medium
other,4797,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Medium
other,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Medium
csv,996,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,High
jpg,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
pdf,455,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,Medium
xlsx,4211,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Medium
pdf,4996,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,Medium
xlsx,8923,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,High
other,6660,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Medium
other,6907,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Medium
csv,2586,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Medium
other,2947,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,High
pdf,9147,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,High
jpg,1238,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low
other,1254,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low
docx,2341,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,High
csv,3132,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,High
png,3140,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,High
png,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Low
pdf,6445,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,High
other,1698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
jpg,11552,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,High
other,1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
jpg,1760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Low
png,828,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
txt,888,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Low
jpg,5889,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,High
pdf,2264,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Medium
png,1695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
png,683,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
docx,11102,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,High
other,8605,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High
txt,5017,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,High
png,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
txt,1078,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Low
other,4012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Medium
other,342,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Medium
xlsx,4250,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Medium
xlsx,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
docx,6144,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Medium
png,9476,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,High
pdf,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
other,3775,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,High
docx,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Medium
png,10937,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,High
pdf,4592,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,High
txt,1345,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Low
other,3036,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Medium
docx,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
docx,641,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
docx,6789,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Medium
docx,8835,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,High
txt,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
txt,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
txt,773,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low
png,5176,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Medium
xlsx,5928,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,Medium
jpg,46,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,High
jpg,148,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Low
other,1760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
docx,1469,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Low
docx,2270,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Medium
docx,6550,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,Medium
csv,6475,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,Medium
docx,158,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,Medium
pdf,5368,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,High
docx,6169,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Medium
docx,3566,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,Medium
other,6907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Medium
docx,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
log,2987,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,High
jpg,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Low
pdf,7658,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,High
csv,11011,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,High
png,1433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
docx,6201,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Medium
log,4757,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,High
xlsx,8422,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,High
docx,5662,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,Medium
png,11333,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,High
xlsx,11954,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,High
csv,10811,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,High
log,3237,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,High
png,3177,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Medium
pdf,9322,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,High
json,1570,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,High
pdf,4486,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Medium
docx,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium
json,9068,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,High
csv,7799,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,High
txt,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
log,10948,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,High
docx,3278,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Medium
pdf,1353,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
xlsx,4988,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,Medium
png,1521,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Medium
jpg,10917,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,High
xlsx,11701,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,High
other,3491,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,Medium
pdf,11017,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,High
csv,10645,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,High
txt,730,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Low
txt,1306,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Low
txt,1029,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,High
jpg,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
png,1534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
txt,216,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
txt,1409,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Low
txt,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
txt,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium
jpg,1684,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Medium
other,7120,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,High
pdf,471,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Medium
log,3149,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,High
jpg,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Low
jpg,7731,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,High
pdf,6102,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Medium
txt,5516,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Medium
docx,6601,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,High
txt,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
other,273,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low
docx,6602,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Medium
other,2474,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Medium
jpg,1554,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low
xlsx,1644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
png,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
txt,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
log,8970,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,High
pdf,748,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Medium
txt,864,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Low
txt,1507,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Medium
png,3664,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Medium
docx,2792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Medium
jpg,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Low
docx,9802,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,High
txt,470,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Low
txt,1392,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low
pdf,5237,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Medium
docx,6543,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,Medium
csv,7780,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,High
png,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
other,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
png,2171,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Medium
log,4526,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,High
pdf,6751,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,Medium
xlsx,6616,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Medium
png,2155,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Medium
other,4217,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Medium
pdf,2905,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Medium
json,3674,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,High
json,7547,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,High
jpg,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
docx,5271,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,High
csv,1588,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,High
xlsx,1159,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
jpg,6005,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,Medium
png,1845,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,Medium
txt,4696,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,High
docx,1088,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Low
jpg,1451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
log,3724,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,High
xlsx,4584,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,Medium
other,1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
log,3092,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,High
other,7463,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,High
txt,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Low
other,3567,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,High
jpg,3429,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Medium
jpg,6467,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,High
csv,6325,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,Medium
txt,92,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low
jpg,1021,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low
pdf,8928,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,High
xlsx,7864,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,High
xlsx,4687,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,High
pdf,4412,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,Medium
png,1220,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low
xlsx,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
jpg,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
other,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Low
png,11176,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,High
csv,1520,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,Medium
docx,4365,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,High
txt,2897,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,Medium
json,7356,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,High
other,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Medium
txt,4206,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,High
docx,2905,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Medium
txt,1255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
json,11904,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,High
jpg,1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
csv,3756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium
png,1649,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Medium
other,6272,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,Medium
txt,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
docx,6831,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,High
jpg,1748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
log,10527,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,High
txt,11623,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,High
pdf,1367,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,High
xlsx,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
docx,1286,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
jpg,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
pdf,1346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
docx,2187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Medium
docx,6464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Medium
xlsx,5794,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Medium
docx,1827,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,Medium
docx,4047,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,Medium
txt,979,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low
json,7625,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,High
pdf,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
xlsx,1014,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Low
txt,10373,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,High
png,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
other,2804,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,High
docx,2871,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,Medium
txt,10352,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,High
xlsx,1233,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,Medium
jpg,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Low
xlsx,5028,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,Medium
xlsx,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
png,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
docx,9241,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,High
xlsx,2675,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,High
jpg,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
jpg,1847,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Medium
jpg,1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
docx,2397,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Medium
xlsx,1684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
png,1583,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low
csv,5260,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,High
txt,3701,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,High
json,2431,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,High
docx,6816,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Medium
docx,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
png,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
jpg,779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
other,1328,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Low
pdf,868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
other,199,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,Medium
pdf,2348,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,Medium
docx,3263,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,High
png,1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
pdf,4368,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Medium
jpg,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
docx,11823,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,High
png,1401,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,Medium
png,1584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Low
jpg,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
log,1187,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,High
png,5334,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,High
docx,232,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Low
pdf,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
png,3238,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,High
png,9962,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,High
png,3508,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Medium
pdf,1014,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,Medium
xlsx,4795,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
docx,1481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
jpg,5432,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,High
txt,467,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,Medium
jpg,1787,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low
jpg,3265,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,High
csv,1169,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,High
other,5072,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,High
png,680,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low
csv,11955,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,High
other,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
xlsx,6216,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,Medium
txt,893,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,Medium
txt,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
docx,8836,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,High
other,5702,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Medium
jpg,300,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Medium
xlsx,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
jpg,743,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Low
txt,1298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
docx,6652,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,Medium
png,2496,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Medium
jpg,1465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
xlsx,6534,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Medium
txt,5486,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Medium
other,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
docx,3736,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Medium
txt,1137,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Low
png,595,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,Medium
pdf,213,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Low
pdf,6355,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,High
jpg,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
other,448,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Low
txt,1445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
png,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
xlsx,9811,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,High
xlsx,5983,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,High
